Identifier,Category
QMA74ift5kLz,mean
qe3x1k9STyxO,mean
YBWECBTJC8v3Uefjal,mean
SwICsAqt4sf3,mean
RgMergN9MTc8Pct84N,mean
tSNyF8JF8bY4WcSUwd,mean
BFLjg4oZ1JFLlhZav6,mean
uEk21UYCtFpODC07HP,mean
lQibGbkGD09b,mean
Wi0Drt6SimOd,mean
QgA14Ef3c5aDL1o,trend
TdE1EdnLhQ7kaggQsN,trend
wFhfpSJPpn773UXw8F,trend
ej6qVlvc0SR3VhwWV,trend
W740urdM6dkiFXOSB,trend
z21cb5wZNmjkY10rO,trend
W30Eqrdg656ijQO4r,trend
J7agFE3aO3tbqKj3N,trend
SmYIItsQjqRx47nfSm,trend
i3DBf6k9GCHZyVj,trend
9gFREqHBUKjhw9zK,variance
dJT4fwPM09B6kijC,variance
i6D2f789NUCVIyz,variance
BfZj37oQQJZflYar,variance
07XTkthasJiOvu,variance
rmNCEXlrypwxoAS4,variance
cYNuIamweMMVl,variance
SEIRsy0qBI4Bbf2,variance
EEhZMxXTYuAWm9,variance
9LlFFqrnUenju9cf,variance
hfB8Mv24CtOfDyHN,periodicity-stable-mean
vxmowzV17EN9Szm,periodicity-stable-mean
RVerENrTcxPcB8b,periodicity-stable-mean
eH6w9l3R0a3JVwPX,periodicity-stable-mean
LKpQH1pbr477kijw,periodicity-stable-mean
LgpnOH1ObrM77aiJ,periodicity-stable-mean
fp9lW1wdYvbBnpCK,periodicity-stable-mean
aytLxNTrvg6QkFN,periodicity-stable-mean
eX6walt0D63lwPT,periodicity-stable-mean
JvabE7OnbDjT,periodicity-stable-mean
